input,time
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0000
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0000
35,0.0000
36,0.0000
37,0.0000
38,0.0000
39,0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,0.0000
46,0.0000
47,0.0000
48,0.0000
49,0.0000
50,0.0000
51,0.0000
52,0.0000
53,0.0000
54,0.0000
55,0.0000
56,0.0000
57,0.0000
58,0.0000
59,0.0000
60,0.0000
61,0.0000
62,0.0000
63,0.0000
64,0.0000
65,0.0000
66,0.0000
67,0.0150
68,0.0000
69,0.0000
70,0.0000
71,0.0000
72,0.0000
73,0.0000
74,0.0000
75,0.0010
76,0.0000
77,0.0000
78,0.0000
79,0.0000
80,0.0000
81,0.0000
82,0.0000
83,0.0000
84,0.0000
85,0.0000
86,0.0000
87,0.0000
88,0.0000
89,0.0000
90,0.0000
91,0.0000
92,0.0000
93,0.0000
94,0.0000
95,0.0000
96,0.0000
97,0.0000
98,0.0000
99,0.0000
100,0.0000
101,0.0000
102,0.0090
103,0.0000
104,0.0000
105,0.0000
106,0.0000
107,0.0000
108,0.0000
109,0.0000
110,0.0000
111,0.0000
112,0.0000
113,0.0000
114,0.0070
115,0.0000
116,0.0000
117,0.0000
118,0.0000
119,0.0000
120,0.0000
121,0.0000
122,0.0000
123,0.0000
124,0.0000
125,0.0000
126,0.0000
127,0.0090
128,0.0000
129,0.0000
130,0.0000
131,0.0000
132,0.0000
133,0.0000
134,0.0000
135,0.0080
136,0.0000
137,0.0000
138,0.0000
139,0.0000
140,0.0000
141,0.0000
142,0.0000
143,0.0000
144,0.0000
145,0.0080
146,0.0000
147,0.0000
148,0.0000
149,0.0000
150,0.0000
151,0.0000
152,0.0080
153,0.0000
154,0.0000
155,0.0000
156,0.0000
157,0.0000
158,0.0000
159,0.0080
160,0.0000
161,0.0000
162,0.0000
163,0.0000
164,0.0000
165,0.0080
166,0.0000
167,0.0000
168,0.0000
169,0.0000
170,0.0000
171,0.0080
172,0.0000
173,0.0040
174,0.0000
175,0.0000
176,0.0000
177,0.0000
178,0.0000
179,0.0000
180,0.0000
181,0.0000
182,0.0160
183,0.0000
184,0.0000
185,0.0000
186,0.0080
187,0.0000
188,0.0000
189,0.0000
190,0.0080
191,0.0000
192,0.0000
193,0.0000
194,0.0080
195,0.0000
196,0.0000
197,0.0000
198,0.0100
199,0.0000
200,0.0000
201,0.0000
202,0.0000
203,0.0000
204,0.0000
205,0.0150
206,0.0000
207,0.0000
208,0.0000
209,0.0000
210,0.0000
211,0.0160
212,0.0000
213,0.0000
214,0.0000
215,0.0000
216,0.0000
217,0.0160
218,0.0000
219,0.0000
220,0.0000
221,0.0000
222,0.0160
223,0.0000
224,0.0080
225,0.0000
226,0.0000
227,0.0080
228,0.0000
229,0.0080
230,0.0000
231,0.0080
232,0.0000
233,0.0080
234,0.0000
235,0.0000
236,0.0080
237,0.0050
238,0.0000
239,0.0000
240,0.0000
241,0.0160
242,0.0000
243,0.0000
244,0.0000
245,0.0150
246,0.0000
247,0.0000
248,0.0160
249,0.0000
250,0.0000
251,0.0000
252,0.0160
253,0.0000
254,0.0000
255,0.0150
256,0.0000
257,0.0000
258,0.0160
259,0.0000
260,0.0120
261,0.0000
262,0.0080
263,0.0080
264,0.0000
265,0.0080
266,0.0040
267,0.0000
268,0.0150
269,0.0020
270,0.0000
271,0.0160
272,0.0000
273,0.0000
274,0.0150
275,0.0000
276,0.0000
277,0.0160
278,0.0000
279,0.0150
280,0.0000
281,0.0160
282,0.0000
283,0.0000
284,0.0160
285,0.0000
286,0.0150
287,0.0000
288,0.0160
289,0.0000
290,0.0000
291,0.0160
292,0.0000
293,0.0150
294,0.0000
295,0.0160
296,0.0000
297,0.0150
298,0.0120
299,0.0080
300,0.0090
301,0.0080
302,0.0080
303,0.0080
304,0.0080
305,0.0080
306,0.0090
307,0.0000
308,0.0160
309,0.0000
310,0.0170
311,0.0000
312,0.0160
313,0.0000
314,0.0150
315,0.0160
316,0.0000
317,0.0150
318,0.0000
319,0.0160
320,0.0160
321,0.0000
322,0.0150
323,0.0160
324,0.0000
325,0.0160
326,0.0150
327,0.0000
328,0.0160
329,0.0150
330,0.0000
331,0.0160
332,0.0160
333,0.0000
334,0.0150
335,0.0160
336,0.0000
337,0.0160
338,0.0150
339,0.0160
340,0.0000
341,0.0150
342,0.0160
343,0.0160
344,0.0000
345,0.0150
346,0.0160
347,0.0160
348,0.0000
349,0.0310
350,0.0160
351,0.0120
352,0.0160
353,0.0310
354,0.0160
355,0.0140
356,0.0160
357,0.0080
358,0.0160
359,0.0150
360,0.0160
361,0.0160
362,0.0000
363,0.0150
364,0.0290
365,0.0150
366,0.0160
367,0.0160
368,0.0190
369,0.0160
370,0.0080
371,0.0190
372,0.0150
373,0.0160
374,0.0150
375,0.0160
376,0.0160
377,0.0150
378,0.0160
379,0.0150
380,0.0160
381,0.0160
382,0.0150
383,0.0170
384,0.0160
385,0.0120
386,0.0160
387,0.0240
388,0.0160
389,0.0160
390,0.0110
391,0.0160
392,0.0150
393,0.0160
394,0.0310
395,0.0160
396,0.0160
397,0.0150
398,0.0160
399,0.0150
400,0.0160
401,0.0310
402,0.0160
403,0.0160
404,0.0150
405,0.0160
406,0.0150
407,0.0320
408,0.0150
409,0.0160
410,0.0310
411,0.0160
412,0.0160
413,0.0270
414,0.0160
415,0.0160
416,0.0310
417,0.0160
418,0.0150
419,0.0160
420,0.0310
421,0.0160
422,0.0150
423,0.0320
424,0.0150
425,0.0310
426,0.0160
427,0.0160
428,0.0310
429,0.0160
430,0.0310
431,0.0150
432,0.0320
433,0.0150
434,0.0160
435,0.0310
436,0.0160
437,0.0310
438,0.0240
439,0.0240
440,0.0160
441,0.0310
442,0.0160
443,0.0310
444,0.0310
445,0.0160
446,0.0310
447,0.0160
448,0.0310
449,0.0310
450,0.0160
451,0.0310
452,0.0320
453,0.0150
454,0.0310
455,0.0320
456,0.0150
457,0.0310
458,0.0320
459,0.0240
460,0.0240
461,0.0320
462,0.0310
463,0.0310
464,0.0160
465,0.0310
466,0.0310
467,0.0310
468,0.0320
469,0.0310
470,0.0160
471,0.0310
472,0.0310
473,0.0310
474,0.0310
475,0.0320
476,0.0310
477,0.0320
478,0.0320
479,0.0310
480,0.0320
481,0.0310
482,0.0160
483,0.0310
484,0.0310
485,0.0310
486,0.0470
487,0.0310
488,0.0320
489,0.0310
490,0.0310
491,0.0310
492,0.0320
493,0.0310
494,0.0400
495,0.0240
496,0.0470
497,0.0310
498,0.0310
499,0.0320
500,0.0310
